method,n_agents,n_resources,makespan,lower_bound,normalized_makespan,scheduler_time_s,wall_time_s,dispatches,mean_utilization,min_utilization,p95_utilization,completed,valid,diagnostic_calls,diagnostic_selected_agents,diagnostic_scanned_agents,diagnostic_feasible_agents,diagnostic_candidate_map_time_s,diagnostic_candidate_reduce_time_s,diagnostic_solver_time_s,diagnostic_packing_time_s,diagnostic_empty_calls,diagnostic_simulation_mode,diagnostic_waves,diagnostic_utilization_by_resource,seed,pool_size,direction_budget,pattern
MP,100000,4,16.0,15.0,1.0666666666666669,1.4743112279966226,1.516206448000048,217,0.8151698238955438,0.7433199943356713,0.9016623838896454,100000,True,233,100000,8605148,7803242,0.9826188390006791,0.0092839509975419,0.0461076380029226,0.423482415998933,16,waves,16,"0.74331999,0.90869129,0.86183190,0.74683611",104,1024,12,correlated_bursts
MP,100000,4,17.0,15.0,1.1333333333333333,4.448329119000846,4.488439585999913,17,0.7666223845375635,0.6686094477914362,0.8585435526950803,100000,True,34,100000,1858654,979327,0.2206215189994509,0.0960885940016851,0.0597776349991363,3.9578774459996566,17,waves,17,"0.87377847,0.75188929,0.66860945,0.77221233",100,65536,12,correlated_bursts
MP,100000,4,18.0,15.0,1.2,0.974027735002892,1.0083207399998173,67,0.7245953990182612,0.66072888385393,0.8014776745685737,100000,True,85,100000,3527899,2537195,0.352386984999157,0.0127924100006566,0.0227762569998049,0.5701489249959195,18,waves,18,"0.66072888,0.80772559,0.76607280,0.66385432",104,4096,12,correlated_bursts
MP,100000,4,17.0,15.0,1.1333333333333333,1.127532750001592,1.167620966999948,23,0.7672186577840413,0.6995952887865141,0.8486234201314309,100000,True,40,100000,1902921,988124,0.1720705520001502,0.0243880969983365,0.0163395749996198,0.8858653789998243,17,waves,17,"0.69959529,0.85523886,0.81113590,0.70290458",104,16384,12,correlated_bursts
MP,100000,4,16.0,14.0,1.1428571428571428,1.0656333490001089,1.1065745659998356,21,0.7930051793007802,0.7345084632635613,0.8280488551498328,100000,True,37,100000,1734787,933409,0.1607612140010133,0.0218478050010162,0.0154754860000139,0.8400443760006056,16,waves,16,"0.83008413,0.73450846,0.79091250,0.81651563",103,16384,12,correlated_bursts
MP,100000,4,17.0,14.0,1.2142857142857142,0.931597480003802,0.9706163959999684,65,0.7783227437563387,0.7208219042148777,0.8180029919566758,100000,True,82,100000,3365967,2356252,0.3444687980008893,0.012516396000592,0.0240842800012615,0.5331562139954258,17,waves,17,"0.78817427,0.82326688,0.72082190,0.78102792",101,4096,12,correlated_bursts
MP,100000,4,15.0,14.0,1.0714285714285714,1.4157380919996283,1.456445472999803,217,0.8458721912541654,0.7834756941477987,0.8832521121598218,100000,True,232,100000,8592980,7729126,0.9763978760006466,0.0091105679971406,0.0447249030030434,0.372585789999448,15,waves,15,"0.88542307,0.78347569,0.84364000,0.87095000",103,1024,12,correlated_bursts
MP,100000,4,19.0,14.0,1.3571428571428572,0.9464585549972072,0.9840937769999982,65,0.6820860380061049,0.6390976835085216,0.7238825233978012,100000,True,84,100000,3512351,2445875,0.3489188729963643,0.0124541260001933,0.0240794720002668,0.5442078379996929,19,waves,19,"0.72797222,0.66056666,0.70070759,0.63909768",102,4096,12,correlated_bursts
MP,100000,4,17.0,14.0,1.2142857142857142,4.283856303000448,4.323329738000211,18,0.7783227437563387,0.7208219042148777,0.8180029919566758,100000,True,35,100000,1935200,969016,0.2199100319999161,0.0966174469999714,0.0498326949991678,3.804299411000102,17,waves,17,"0.78817427,0.82326688,0.72082190,0.78102792",101,65536,12,correlated_bursts
MP,100000,4,17.0,15.0,1.1333333333333333,0.934301418000814,0.968170265000026,65,0.7666223845375635,0.6686094477914362,0.8585435526950803,100000,True,82,100000,3444512,2454569,0.3441236019998541,0.0120253680011046,0.0221983859978536,0.541318182998566,17,waves,17,"0.87377847,0.75188929,0.66860945,0.77221233",100,4096,12,correlated_bursts
