method,n_agents,n_resources,makespan,lower_bound,normalized_makespan,scheduler_time_s,wall_time_s,dispatches,mean_utilization,min_utilization,p95_utilization,completed,valid,pattern,seed,unique_fraction,source_file,diagnostic_calls,diagnostic_selected_agents,diagnostic_scanned_agents,diagnostic_feasible_agents,diagnostic_candidate_map_time_s,diagnostic_candidate_reduce_time_s,diagnostic_solver_time_s,diagnostic_packing_time_s,diagnostic_empty_calls,diagnostic_simulation_mode,diagnostic_waves,diagnostic_utilization_by_resource,gate_score,gate_decision
FISTA,100000,4,17.0,14.0,1.2142857142857142,1.3946233139995456,1.432451677000245,24,0.7660058182203536,0.7316306539514486,0.7995388407351807,100000,True,complementary,101,1.0,complementary_100000_101_fista.csv,41.0,100000.0,1893049.0,1041552.0,0.1802309859999695,0.0199802619990805,0.2300398010015669,0.9129003419998298,17.0,waves,17.0,"0.80514349,0.76777919,0.73163065,0.75946994",,
FISTA,10000,4,18.0,15.0,1.2,0.2309445229989251,0.23671229699994,19,0.7404263638478739,0.6784971174663967,0.7911342000490207,10000,True,correlated_bursts,106,1.0,correlated_bursts_10000_106_fista.csv,37.0,10000.0,194876.0,98114.0,0.0211783340000693,0.0029727290002483,0.0374726530003499,0.1648698080007307,18.0,waves,18.0,"0.67849712,0.71053208,0.79318966,0.77948660",,
FIFO-Windowed,100000,4,14.0,13.0,1.0769230769230769,0.0016910230001485,0.0016910230001485,14,,,,100000,True,complementary,103,1.0,complementary_100000_103_baseline.csv,,,,,,,,,,,,,,
Kahn-FIFO,100000,4,14.0,13.0,1.0769230769230769,0.0016910230001485,0.0016910230001485,14,,,,100000,True,complementary,103,1.0,complementary_100000_103_baseline.csv,,,,,,,,,,,,,,
LangChain-FCFS-policy,100000,4,14.0,13.0,1.0769230769230769,0.0016910230001485,0.0016910230001485,14,,,,100000,True,complementary,103,1.0,complementary_100000_103_baseline.csv,,,,,,,,,,,,,,
LangGraph-FCFS-policy,100000,4,14.0,13.0,1.0769230769230769,0.0016910230001485,0.0016910230001485,14,,,,100000,True,complementary,103,1.0,complementary_100000_103_baseline.csv,,,,,,,,,,,,,,
FIFO-Strict,100000,4,14.0,13.0,1.0769230769230769,0.0004231759999129,0.0004231759999129,14,,,,100000,True,complementary,103,1.0,complementary_100000_103_baseline.csv,,,,,,,,,,,,,,
IRLS,10000,4,18.0,14.0,1.2857142857142858,0.2037981529983881,0.2086421310000332,18,0.7355578661496993,0.6820849211789943,0.7714456602000749,10000,True,correlated_bursts,101,1.0,correlated_bursts_10000_101_irls.csv,36.0,10000.0,187158.0,98579.0,0.0206372149991693,0.0029711699999097,0.0139712430004692,0.1622084180003185,18.0,waves,18.0,"0.74461923,0.77617974,0.68208492,0.73934758",,
FISTA,1000000,4,18.0,15.0,1.2,9.226891956000143,9.657213597000007,30,0.6939343907496742,0.6349929486260943,0.8054343914101706,1000000,True,correlated_bursts,107,1.0,correlated_bursts_1000000_107_fista.csv,48.0,1000000.0,21105040.0,11473376.0,2.008721791000653,0.2060596080011691,1.3996303870007978,5.240864896999483,18.0,waves,18.0,"0.63499295,0.82933463,0.66999969,0.64141029",,
MP,100000,4,17.0,15.0,1.1333333333333333,0.9941760340007022,1.0293475799999214,26,0.7671756086949741,0.6996399665664224,0.8494136911079743,100000,True,iid,104,1.0,iid_100000_104_mp.csv,43.0,100000.0,2026064.0,1026908.0,0.1772474489994238,0.0199243029987883,0.0144265550002273,0.7587178460007635,17.0,waves,17.0,"0.69963997,0.85676635,0.80774864,0.70454748",,
FIFO-Windowed,100000,4,35.0,14.0,2.5,0.0036532869999064,0.0036532869999064,35,,,,100000,True,correlated_bursts,102,1.0,correlated_bursts_100000_102_baseline.csv,,,,,,,,,,,,,,
Kahn-FIFO,100000,4,35.0,14.0,2.5,0.0036532869999064,0.0036532869999064,35,,,,100000,True,correlated_bursts,102,1.0,correlated_bursts_100000_102_baseline.csv,,,,,,,,,,,,,,
LangChain-FCFS-policy,100000,4,35.0,14.0,2.5,0.0036532869999064,0.0036532869999064,35,,,,100000,True,correlated_bursts,102,1.0,correlated_bursts_100000_102_baseline.csv,,,,,,,,,,,,,,
LangGraph-FCFS-policy,100000,4,35.0,14.0,2.5,0.0036532869999064,0.0036532869999064,35,,,,100000,True,correlated_bursts,102,1.0,correlated_bursts_100000_102_baseline.csv,,,,,,,,,,,,,,
FIFO-Strict,100000,4,35.0,14.0,2.5,0.0004507180001382,0.0004507180001382,35,,,,100000,True,correlated_bursts,102,1.0,correlated_bursts_100000_102_baseline.csv,,,,,,,,,,,,,,
IRLS,1000000,4,21.0,15.0,1.4,10.118031005000605,10.532346821999909,36,0.6341321587911257,0.5817223441310799,0.6729909951014049,1000000,True,correlated_bursts,106,1.0,correlated_bursts_1000000_106_irls.csv,57.0,1000000.0,23981100.0,12766151.0,2.320669721000286,0.2322868550002113,0.8926045809994321,6.353050147999738,21.0,waves,21.0,"0.58172234,0.62299329,0.67602721,0.65578579",,
MP,100000,4,17.0,15.0,1.1333333333333333,0.953461382000114,0.9886310829997456,25,0.7672529312099896,0.6941034417667576,0.8197511880755799,100000,True,iid,109,1.0,iid_100000_109_mp.csv,42.0,100000.0,1944484.0,1018451.0,0.172173346999898,0.0192635220018928,0.013858269001048,0.7249187429993071,17.0,waves,17.0,"0.79423140,0.69410344,0.75642220,0.82425468",,
OLS,100000,4,18.0,14.0,1.2857142857142858,2.565560797001126,2.605221024000002,25,0.7049524371806117,0.6485385373905853,0.7386753685310108,100000,True,iid,103,1.0,iid_100000_103_ols.csv,43.0,100000.0,1811653.0,986030.0,0.1676936369995019,0.018757150998681,1.6537865159994,0.7016425780002464,18.0,waves,18.0,"0.74141959,0.64853854,0.70672683,0.72312479",,
OMP,100000,4,18.0,14.0,1.2857142857142858,1.0104048220023287,1.0463165450000815,25,0.7137222384875792,0.6776785811008348,0.7429933716992625,100000,True,complementary,104,1.0,complementary_100000_104_omp.csv,43.0,100000.0,1825051.0,1015993.0,0.1725006920005398,0.0193874249985128,0.0172761879994141,0.7762559690008857,18.0,waves,18.0,"0.69794574,0.74443382,0.73483081,0.67767858",,
FIFO-Windowed,100000,4,15.0,15.0,1.0,0.0017863040002339,0.0017863040002339,15,,,,100000,True,iid,109,1.0,iid_100000_109_baseline.csv,,,,,,,,,,,,,,
Kahn-FIFO,100000,4,15.0,15.0,1.0,0.0017863040002339,0.0017863040002339,15,,,,100000,True,iid,109,1.0,iid_100000_109_baseline.csv,,,,,,,,,,,,,,
LangChain-FCFS-policy,100000,4,15.0,15.0,1.0,0.0017863040002339,0.0017863040002339,15,,,,100000,True,iid,109,1.0,iid_100000_109_baseline.csv,,,,,,,,,,,,,,
LangGraph-FCFS-policy,100000,4,15.0,15.0,1.0,0.0017863040002339,0.0017863040002339,15,,,,100000,True,iid,109,1.0,iid_100000_109_baseline.csv,,,,,,,,,,,,,,
FIFO-Strict,100000,4,15.0,15.0,1.0,0.0004221750000397,0.0004221750000397,15,,,,100000,True,iid,109,1.0,iid_100000_109_baseline.csv,,,,,,,,,,,,,,
MP,10000,4,17.0,15.0,1.1333333333333333,0.193060148998029,0.1975603999999293,17,0.7675848914359131,0.6769304545636271,0.862963407500351,10000,True,correlated_bursts,100,1.0,correlated_bursts_10000_100_mp.csv,34.0,10000.0,187390.0,98695.0,0.0199177190015689,0.0029001219991187,0.0049625339997874,0.1617125420011689,17.0,waves,17.0,"0.88008670,0.74739100,0.67693045,0.76593141",,
FIFO-Windowed,100000,4,35.0,14.0,2.5,0.0035970130002169,0.0035970130002169,35,,,,100000,True,correlated_bursts,103,1.0,correlated_bursts_100000_103_baseline.csv,,,,,,,,,,,,,,
Kahn-FIFO,100000,4,35.0,14.0,2.5,0.0035970130002169,0.0035970130002169,35,,,,100000,True,correlated_bursts,103,1.0,correlated_bursts_100000_103_baseline.csv,,,,,,,,,,,,,,
LangChain-FCFS-policy,100000,4,35.0,14.0,2.5,0.0035970130002169,0.0035970130002169,35,,,,100000,True,correlated_bursts,103,1.0,correlated_bursts_100000_103_baseline.csv,,,,,,,,,,,,,,
LangGraph-FCFS-policy,100000,4,35.0,14.0,2.5,0.0035970130002169,0.0035970130002169,35,,,,100000,True,correlated_bursts,103,1.0,correlated_bursts_100000_103_baseline.csv,,,,,,,,,,,,,,
FIFO-Strict,100000,4,35.0,14.0,2.5,0.0004638369996428,0.0004638369996428,35,,,,100000,True,correlated_bursts,103,1.0,correlated_bursts_100000_103_baseline.csv,,,,,,,,,,,,,,
