method,n_agents,n_resources,makespan,lower_bound,normalized_makespan,scheduler_time_s,wall_time_s,dispatches,mean_utilization,min_utilization,p95_utilization,completed,valid,pattern,seed,unique_fraction,source_file,diagnostic_calls,diagnostic_selected_agents,diagnostic_scanned_agents,diagnostic_feasible_agents,diagnostic_candidate_map_time_s,diagnostic_candidate_reduce_time_s,diagnostic_solver_time_s,diagnostic_packing_time_s,diagnostic_empty_calls,diagnostic_simulation_mode,diagnostic_waves,diagnostic_utilization_by_resource,gate_score,gate_decision
Adaptive-SPARSE,1000000,4,17.0,15.0,1.1333333333333333,9.849395033000746,9.950865859000032,35,0.7677028436432539,0.6940031547199979,0.8204784068690155,1000000,True,correlated_bursts,109,1.0,correlated_bursts_1000000_109_mp.csv,52.0,1000000.0,21734372.0,13151213.0,2.2339701330001844,0.2175142040005084,0.0816695549995074,6.683911295999906,17.0,waves,17.0,"0.79885612,0.69400315,0.75365799,0.82429410",0.5392267906085864,MP
Adaptive-SPARSE,100000,4,15.0,15.0,1.0,0.019787077000273694,0.0015091340001163,15,,,,100000,True,iid,100,1.0,iid_100000_100_baseline.csv,,,,,,,,,,,,,0.0009068855121570074,FIFO-Windowed
Adaptive-SPARSE,100000,4,15.0,15.0,1.0,0.01963346900038229,0.0017429500003345,15,,,,100000,True,iid,101,1.0,iid_100000_101_baseline.csv,,,,,,,,,,,,,0.0005165457277375718,FIFO-Windowed
Adaptive-SPARSE,100000,4,14.0,14.0,1.0,0.019417829999838414,0.0015199599997686,14,,,,100000,True,iid,102,1.0,iid_100000_102_baseline.csv,,,,,,,,,,,,,0.0006446107472961038,FIFO-Windowed
Adaptive-SPARSE,100000,4,14.0,14.0,1.0,0.019735839000077228,0.0015767830000186,14,,,,100000,True,iid,103,1.0,iid_100000_103_baseline.csv,,,,,,,,,,,,,-0.0009935044388198477,FIFO-Windowed
Adaptive-SPARSE,100000,4,15.0,15.0,1.0,0.020074522000413677,0.001611265000065,15,,,,100000,True,iid,104,1.0,iid_100000_104_baseline.csv,,,,,,,,,,,,,-0.0008208664506371144,FIFO-Windowed
Adaptive-SPARSE,100000,4,14.0,14.0,1.0,0.019521313000495786,0.0016841630003909,14,,,,100000,True,iid,105,1.0,iid_100000_105_baseline.csv,,,,,,,,,,,,,0.004107071082743552,FIFO-Windowed
Adaptive-SPARSE,100000,4,15.0,15.0,1.0,0.019473782000204574,0.0017593739999028,15,,,,100000,True,iid,106,1.0,iid_100000_106_baseline.csv,,,,,,,,,,,,,-5.929982256852595e-05,FIFO-Windowed
Adaptive-SPARSE,100000,4,15.0,15.0,1.0,0.01934773599987233,0.001603803999842,15,,,,100000,True,iid,107,1.0,iid_100000_107_baseline.csv,,,,,,,,,,,,,-0.0018755795707399159,FIFO-Windowed
Adaptive-SPARSE,100000,4,15.0,15.0,1.0,0.019649421999929455,0.0017902499998854,15,,,,100000,True,iid,108,1.0,iid_100000_108_baseline.csv,,,,,,,,,,,,,-0.00046415948004785434,FIFO-Windowed
Adaptive-SPARSE,100000,4,15.0,15.0,1.0,0.01999867000040463,0.0017863040002339,15,,,,100000,True,iid,109,1.0,iid_100000_109_baseline.csv,,,,,,,,,,,,,0.003500926617864164,FIFO-Windowed
Adaptive-SPARSE,100000,4,14.0,14.0,1.0,0.017758483000307013,0.0014779470002395,14,,,,100000,True,complementary,100,1.0,complementary_100000_100_baseline.csv,,,,,,,,,,,,,-0.0005986374525887572,FIFO-Windowed
Adaptive-SPARSE,100000,4,14.0,14.0,1.0,0.017278393000196915,0.0014321290000225,14,,,,100000,True,complementary,101,1.0,complementary_100000_101_baseline.csv,,,,,,,,,,,,,0.001253270627796177,FIFO-Windowed
Adaptive-SPARSE,100000,4,15.0,15.0,1.0,0.0174417750004067,0.0015310660000977,15,,,,100000,True,complementary,102,1.0,complementary_100000_102_baseline.csv,,,,,,,,,,,,,0.0026383707141715007,FIFO-Windowed
Adaptive-SPARSE,100000,4,14.0,13.0,1.0769230769230769,0.017528674000004622,0.0016910230001485,14,,,,100000,True,complementary,103,1.0,complementary_100000_103_baseline.csv,,,,,,,,,,,,,0.0014127556332653723,FIFO-Windowed
Adaptive-SPARSE,100000,4,14.0,14.0,1.0,0.01754897400041948,0.0016570430002502,14,,,,100000,True,complementary,104,1.0,complementary_100000_104_baseline.csv,,,,,,,,,,,,,0.0003721241487311122,FIFO-Windowed
Adaptive-SPARSE,100000,4,14.0,14.0,1.0,0.017622693000248473,0.0015851660000407,14,,,,100000,True,complementary,105,1.0,complementary_100000_105_baseline.csv,,,,,,,,,,,,,-0.0008875603989584313,FIFO-Windowed
Adaptive-SPARSE,100000,4,15.0,15.0,1.0,0.019486840999888927,0.0019458699998722,15,,,,100000,True,complementary,106,1.0,complementary_100000_106_baseline.csv,,,,,,,,,,,,,0.0014160217439077583,FIFO-Windowed
Adaptive-SPARSE,100000,4,14.0,14.0,1.0,0.017594592000023054,0.001661389000219,14,,,,100000,True,complementary,107,1.0,complementary_100000_107_baseline.csv,,,,,,,,,,,,,-0.0007913820509701797,FIFO-Windowed
Adaptive-SPARSE,100000,4,14.0,14.0,1.0,0.01753515299969867,0.0016373029998248,14,,,,100000,True,complementary,108,1.0,complementary_100000_108_baseline.csv,,,,,,,,,,,,,0.0002337193074605226,FIFO-Windowed
Adaptive-SPARSE,100000,4,14.0,14.0,1.0,0.017487922999862328,0.0017083679999814,14,,,,100000,True,complementary,109,1.0,complementary_100000_109_baseline.csv,,,,,,,,,,,,,0.0006367399669373053,FIFO-Windowed
