pattern,seed,method,optimal_waves,waves,ratio,exact,scheduler_time_s,wall_s,valid
iid,210,FISTA,3,3.0,1.0,1,0.0037955269999656,0.0041801169995778,True
iid,210,IRLS,3,3.0,1.0,1,0.0017253440000786,0.0020920569995723,True
iid,210,FIFO-Windowed,3,3.0,1.0,1,0.0002322429991181,0.0006210490000739,True
iid,210,Kahn-FIFO,3,3.0,1.0,1,0.0002098800005114,0.0005212309997659,True
iid,211,MP,3,3.0,1.0,1,0.0013388529996518,0.0019277430001238,True
iid,211,OMP,3,3.0,1.0,1,0.0014104160004535,0.001884689000235,True
iid,211,OLS,3,3.0,1.0,1,0.0038159389996508,0.0042179930001111,True
iid,211,FISTA,3,3.0,1.0,1,0.003791731999172,0.0041728559999683,True
iid,211,IRLS,3,3.0,1.0,1,0.0019891349998033,0.0023654709998481,True
iid,211,FIFO-Windowed,3,4.0,1.3333333333333333,0,0.0002184349996241,0.0006011899999975,True
iid,211,Kahn-FIFO,3,4.0,1.3333333333333333,0,0.0002131749993168,0.0005701339996448,True
iid,212,MP,2,3.0,1.5,0,0.0013687069995285,0.0018814650002241,True
